CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,Ammoniacal Nitrogen,BOD5,COD,Chloride,Dissolved Oxygen,Electrical Conductivity,Nitrate,Nitrite,Sulfate,Temperature,Total Suspended Solids,Turbidity,pH
11395,2005-03-12,RCA_NEGRO_CUN_GUADUAS_GUADUERO [23067050],CUNDINAMARCA,GUADUAS,5.192111111,-74.57291667,0.04,,30.0,,8.6,437.0,0.44,0.0114,,25.2,260.0,268.0,8.15
11396,2005-03-13,GUALI_TOL_HONDA_PTE.LOPEZ [23017030],TOLIMA,HONDA,5.203888889,-74.74111111,0.04,,40.0,,7.8,133.5,1.04,0.006,39.0,24.7,390.0,796.0,6.67
11398,2005-03-01,RCA_MAGDALENA_CUN_NARINO_NARINO [21237010],CUNDINAMARCA,NARIÑO,4.387777778,-74.838375,0.448,,20.0,,6.9,118.7,0.68,0.0853,,30.3,310.0,247.0,7.5
11403,2005-03-15,RCA_YAGUARA_HUI_YAGUARA_HDA.VENECIA [21087080],HUILA,YAGUARÁ,2.64,-75.54,0.046,,20.0,,7.5,131.4,0.42,0.006,3.0,23.3,78.0,100.0,
11405,2005-03-02,RCA_CASANARE_ARA_CRAVO NORTE_CRAVONORTE [36027050],ARAUCA,CRAVO NORTE,6.295638889,-70.19433333,,,20.0,,6.1,187.7,,,,31.5,37.0,28.0,7.49
11406,2005-03-07,RCA_META_VIC_PUERTO CARRENO_ACEITICO [35257040],VICHADA,PUERTO CARREÑO,6.1835,-68.441556,0.16,,20.0,,7.4,114.5,0.07,0.0385,20.5,31.5,15.0,22.0,8.16
11408,2005-03-12,RCA_ORINOCO_VIC_PUERTO CARRENO_PTO.CARRENO [38017010],VICHADA,PUERTO CARREÑO,6.176527778,-67.47958333,0.05,,20.0,,7.0,19.2,0.03,0.006,3.0,32.8,7.0,14.0,7.74
11410,2005-03-16,RCA_META_MET_PUERTO LOPEZ_PTE.LLERAS [35017020],META,PUERTO LÓPEZ,4.103019444,-72.936383333,,,20.0,,7.3,97.0,,,20.0,31.1,37.0,24.0,5.7
11439,2005-03-19,RCA_LAGUNILLA_TOL_LERIDA_ESMERALDA LA [21257090],TOLIMA,LÉRIDA,4.890777778,-74.85313889,,,20.0,,7.1,163.4,,,42.8,26.7,71.0,45.0,7.32
11447,2005-03-13,RCA_MAGDALENA_MAG_EL BANCO_EL BANCO [25027020],MAGDALENA,EL BANCO,8.992527778,-73.96944444,0.072,,40.0,,6.0,189.1,1.18,0.006,,29.5,770.0,570.0,7.29
