standard_id,layer_id,CODIGO__MUESTRA,n_params,violation_score_0_100,severity_score_0_100,risk_score_0_100,critical_violation_flag,created_at,standard_code,layer_code
1,1,20141,2,100.0,54.86,86.46,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20143,2,57.14,53.23,55.97,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20144,2,57.14,56.56,56.97,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20145,2,57.14,56.55,56.96,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20148,2,57.14,56.68,57.0,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20158,2,57.14,56.79,57.04,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20159,2,57.14,49.42,54.82,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20169,2,57.14,54.61,56.38,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20171,2,57.14,56.51,56.95,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20172,2,57.14,56.51,56.95,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20174,2,57.14,56.72,57.01,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20177,2,57.14,56.1,56.83,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20178,2,57.14,56.74,57.02,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20179,2,57.14,56.87,57.06,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20180,2,57.14,56.6,56.98,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20181,2,57.14,56.75,57.02,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20182,2,57.14,57.05,57.11,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20183,2,57.14,56.43,56.93,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20184,2,57.14,55.86,56.76,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20188,2,57.14,56.94,57.08,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20189,2,100.0,57.13,87.14,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20190,2,57.14,50.34,55.1,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20230,2,57.14,54.99,56.5,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20232,2,57.14,52.38,55.71,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20234,2,57.14,57.09,57.12,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20235,2,57.14,56.91,57.07,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20236,2,57.14,56.9,57.07,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20237,2,57.14,57.09,57.12,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20254,2,57.14,56.75,57.02,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20255,2,57.14,56.28,56.88,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20256,2,57.14,56.76,57.03,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20262,2,57.14,57.11,57.13,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20283,2,57.14,56.01,56.8,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20284,2,100.0,58.86,87.66,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20285,2,100.0,56.31,86.89,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20286,2,57.14,53.38,56.01,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20287,2,100.0,57.76,87.33,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20289,2,57.14,31.63,49.49,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20326,2,100.0,56.09,86.83,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20342,2,57.14,51.19,55.36,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20343,2,57.14,52.46,55.74,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20344,2,100.0,52.94,85.88,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20345,2,57.14,57.01,57.1,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20347,2,57.14,30.44,49.13,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20349,2,57.14,56.75,57.02,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20350,2,57.14,56.71,57.01,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20351,2,57.14,54.99,56.5,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20352,2,57.14,54.61,56.38,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20355,2,57.14,56.45,56.93,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20356,2,57.14,56.83,57.05,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20357,2,0.0,0.0,0.0,0,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20358,2,57.14,55.49,56.64,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20364,2,57.14,55.86,56.76,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20365,2,57.14,54.07,56.22,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20366,2,57.14,56.53,56.96,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20367,2,57.14,48.21,54.46,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20368,2,57.14,56.86,57.06,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20369,2,57.14,56.74,57.02,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20370,2,57.14,54.99,56.5,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20374,2,57.14,54.04,56.21,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20375,2,100.0,53.88,86.16,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20376,2,57.14,46.94,54.08,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20381,2,57.14,57.02,57.1,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20382,2,0.0,0.0,0.0,0,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20383,2,100.0,50.05,85.02,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20395,2,57.14,56.72,57.01,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20396,2,57.14,54.37,56.31,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20406,2,57.14,46.15,53.84,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20407,2,57.14,54.0,56.2,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20408,2,57.14,56.42,56.92,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20409,2,57.14,56.78,57.03,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20410,2,57.14,56.2,56.86,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20411,2,57.14,55.58,56.67,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20416,2,57.14,52.04,55.61,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20419,2,100.0,58.9,87.67,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20420,2,57.14,51.43,55.43,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20421,2,57.14,56.1,56.83,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20422,2,100.0,10.77,73.23,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20438,2,100.0,63.86,89.16,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20439,2,57.14,56.7,57.01,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20440,2,57.14,55.39,56.61,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20441,2,57.14,56.06,56.82,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20442,2,57.14,54.0,56.2,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20456,2,57.14,56.53,56.96,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20457,2,57.14,52.75,55.82,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20458,2,57.14,55.39,56.61,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20459,2,57.14,48.74,54.62,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20462,2,57.14,56.96,57.09,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20463,2,57.14,56.06,56.82,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20464,2,57.14,49.21,54.76,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20465,2,57.14,56.64,56.99,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20466,2,57.14,54.61,56.38,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20467,2,57.14,55.49,56.64,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20468,2,57.14,53.33,56.0,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20469,2,100.0,36.97,81.09,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20474,2,57.14,56.73,57.02,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20475,2,57.14,56.06,56.82,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20481,2,57.14,56.26,56.88,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20482,2,57.14,44.72,53.41,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20483,2,57.14,56.4,56.92,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20484,2,57.14,48.74,54.62,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20485,2,57.14,56.36,56.91,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20486,2,57.14,46.94,54.08,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20490,2,100.0,52.31,85.69,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20493,2,57.14,50.17,55.05,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20494,2,57.14,56.77,57.03,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20495,2,57.14,56.17,56.85,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20496,2,57.14,54.82,56.44,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20500,2,57.14,51.95,55.58,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20501,2,57.14,54.61,56.38,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20510,2,57.14,57.02,57.1,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20511,2,57.14,48.98,54.69,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20512,2,57.14,56.31,56.89,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20513,2,57.14,54.37,56.31,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20517,2,57.14,47.29,54.18,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20527,2,100.0,58.74,87.62,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20528,2,57.14,54.82,56.44,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20529,2,57.14,55.86,56.76,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20531,2,57.14,46.94,54.08,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20532,2,42.86,0.26,30.08,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20533,2,57.14,41.27,52.38,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20534,2,57.14,52.68,55.8,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20535,2,57.14,48.21,54.46,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20536,2,57.14,54.82,56.44,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20537,2,57.14,51.06,55.32,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20538,2,57.14,56.01,56.8,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20539,2,100.0,46.63,83.99,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20540,2,57.14,51.19,55.36,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20541,2,57.14,53.78,56.13,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20542,2,57.14,54.99,56.5,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20543,2,0.0,0.0,0.0,0,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20544,2,57.14,55.86,56.76,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20545,2,57.14,55.86,56.76,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20546,2,57.14,55.49,56.64,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20547,2,57.14,49.82,54.94,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20548,2,57.14,43.54,53.06,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20549,2,57.14,50.93,55.28,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20550,2,57.14,54.04,56.21,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20552,2,100.0,57.87,87.36,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20576,2,57.14,39.29,51.78,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20577,2,57.14,55.74,56.72,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20578,2,57.14,56.53,56.96,1,2026-02-25 17:23:54,CO_2115,SANITARY
1,1,20579,2,57.14,56.97,57.09,1,2026-02-25 17:23:54,CO_2115,SANITARY
