CODIGO__MUESTRA,CO_2115,EPA,epa_minus_colombia,epa_stricter_flag,colombia_only_acceptable
11925,56.58,56.57,-0.00999999999999801,0,0
11954,56.31,56.28,-0.030000000000001137,0,0
11955,45.86,0.0,-45.86,0,0
11956,48.74,45.24,-3.5,0,0
11957,56.82,56.81,-0.00999999999999801,0,0
11958,52.63,51.78,-0.8500000000000014,0,0
11983,55.98,55.93,-0.04999999999999716,0,0
11998,54.94,54.76,-0.17999999999999972,0,0
11999,57.06,57.06,0.0,0,0
12000,56.64,56.64,0.0,0,0
12001,57.03,57.03,0.0,0,0
12002,52.63,51.78,-0.8500000000000014,0,0
12010,0.0,30.47,30.47,1,1
12011,56.26,56.23,-0.030000000000001137,0,0
12015,56.97,56.97,0.0,0,0
12016,53.25,52.63,-0.6199999999999974,0,0
12017,55.52,55.43,-0.09000000000000341,0,0
12018,55.43,55.32,-0.10999999999999943,0,0
12019,53.84,53.41,-0.4300000000000068,0,0
12025,49.2,46.15,-3.0500000000000043,0,0
12026,55.1,54.94,-0.1600000000000037,0,0
12029,53.97,53.57,-0.3999999999999986,0,0
12045,56.17,56.13,-0.03999999999999915,0,0
12061,56.18,56.14,-0.03999999999999915,0,0
12062,85.78,85.38,-0.4000000000000057,0,0
12073,55.05,54.88,-0.1699999999999946,0,0
12081,56.82,56.81,-0.00999999999999801,0,0
12082,55.58,55.49,-0.0899999999999963,0,0
12087,51.02,49.35,-1.6700000000000017,0,0
12088,56.06,56.01,-0.05000000000000426,0,0
12089,87.58,87.45,-0.12999999999999545,0,0
12090,82.9,80.32,-2.5800000000000125,0,0
12091,82.3,81.07,-1.230000000000004,0,0
12092,53.06,52.38,-0.6799999999999997,0,0
12093,55.1,54.94,-0.1600000000000037,0,0
12094,51.43,50.0,-1.4299999999999997,0,0
12095,51.43,50.0,-1.4299999999999997,0,0
12096,51.02,49.35,-1.6700000000000017,0,0
12097,55.55,55.46,-0.0899999999999963,0,0
12100,55.74,55.66,-0.0800000000000054,0,0
12101,56.28,56.26,-0.020000000000003126,0,0
12102,56.67,56.67,0.0,0,0
12103,54.94,54.76,-0.17999999999999972,0,0
12105,56.44,56.43,-0.00999999999999801,0,0
12107,55.24,55.1,-0.14000000000000057,0,0
12108,56.07,56.03,-0.03999999999999915,0,0
12109,56.67,56.67,0.0,0,0
12110,54.88,54.69,-0.19000000000000483,0,0
12111,54.76,54.54,-0.21999999999999886,0,0
12112,51.78,50.55,-1.230000000000004,0,0
12129,54.54,54.28,-0.259999999999998,0,0
12131,53.41,52.86,-0.5499999999999972,0,0
12134,73.86,30.78,-43.08,0,0
12136,51.02,49.35,-1.6700000000000017,0,0
12138,55.93,55.88,-0.04999999999999716,0,0
12139,87.54,87.52,-0.020000000000010232,0,0
12147,54.69,54.46,-0.22999999999999687,0,0
12148,45.56,0.0,-45.56,0,0
12149,57.01,57.01,0.0,0,0
12150,42.36,0.0,-42.36,0,0
12152,82.57,80.19,-2.3799999999999955,0,0
12155,55.39,55.28,-0.10999999999999943,0,0
12156,53.71,53.25,-0.46000000000000085,0,0
12164,53.57,53.06,-0.509999999999998,0,0
12165,30.15,30.15,0.0,0,0
12166,49.2,76.23,27.03,1,0
12167,53.06,52.38,-0.6799999999999997,0,0
12168,52.63,51.78,-0.8500000000000014,0,0
12169,55.64,55.55,-0.09000000000000341,0,0
12170,56.92,56.92,0.0,0,0
12171,44.9,0.0,-44.9,0,0
12172,53.41,52.86,-0.5499999999999972,0,0
12183,57.06,57.06,0.0,0,0
12209,57.04,57.04,0.0,0,0
12210,0.0,0.0,0.0,0,0
12211,0.0,0.0,0.0,0,0
12212,0.0,0.0,0.0,0,0
12213,0.0,0.0,0.0,0,0
12214,56.96,56.95,-0.00999999999999801,0,0
12215,56.97,56.97,0.0,0,0
12216,0.0,0.0,0.0,0,0
12217,56.96,56.96,0.0,0,0
12218,0.0,0.0,0.0,0,0
12219,0.0,0.0,0.0,0,0
12220,56.99,56.99,0.0,0,0
12230,56.64,56.63,-0.00999999999999801,0,0
12231,50.44,48.4,-2.039999999999999,0,0
12251,54.46,54.18,-0.28000000000000114,0,0
12252,56.18,56.14,-0.03999999999999915,0,0
12257,56.44,56.43,-0.00999999999999801,0,0
12292,0.0,0.0,0.0,0,0
12293,0.0,0.0,0.0,0,0
12294,0.0,0.0,0.0,0,0
12304,56.76,56.75,-0.00999999999999801,0,0
12305,56.61,56.61,0.0,0,0
12348,52.1,51.02,-1.0799999999999983,0,0
12369,0.0,0.0,0.0,0,0
12370,0.0,0.0,0.0,0,0
12371,0.0,0.0,0.0,0,0
12372,56.13,56.1,-0.030000000000001137,0,0
12373,46.81,40.97,-5.840000000000003,0,0
12375,86.94,86.94,0.0,0,0
12376,87.01,87.0,-0.010000000000005116,0,0
12377,56.83,56.82,-0.00999999999999801,0,0
12378,57.12,57.12,0.0,0,0
12379,54.76,54.54,-0.21999999999999886,0,0
12380,52.63,51.78,-0.8500000000000014,0,0
12407,74.49,74.49,0.0,0,0
12409,57.06,57.06,0.0,0,0
12410,56.97,56.97,0.0,0,0
12411,57.01,57.01,0.0,0,0
12412,56.96,56.96,0.0,0,0
12413,57.09,57.09,0.0,0,0
12445,56.8,56.8,0.0,0,0
12446,56.85,56.85,0.0,0,0
12447,56.83,56.82,-0.00999999999999801,0,0
12448,55.19,55.05,-0.14000000000000057,0,0
12449,56.13,56.1,-0.030000000000001137,0,0
12469,82.83,81.75,-1.0799999999999983,0,0
12470,53.71,53.25,-0.46000000000000085,0,0
12471,56.95,56.95,0.0,0,0
12472,56.99,56.98,-0.010000000000005116,0,0
12488,56.79,56.78,-0.00999999999999801,0,0
12489,57.12,57.12,0.0,0,0
12491,56.86,56.86,0.0,0,0
12492,57.05,57.05,0.0,0,0
12493,88.65,88.65,0.0,0,0
12494,56.76,56.75,-0.00999999999999801,0,0
12500,96.25,95.95,-0.29999999999999716,0,0
12501,0.0,0.0,0.0,0,0
12502,56.58,56.57,-0.00999999999999801,0,0
12503,0.0,0.0,0.0,0,0
12515,56.64,56.64,0.0,0,0
12516,56.01,55.97,-0.03999999999999915,0,0
12537,84.46,84.14,-0.3199999999999932,0,0
12538,87.72,87.72,0.0,0,0
12565,56.38,56.36,-0.020000000000003126,0,0
12566,0.0,30.25,30.25,1,1
12569,56.97,56.97,0.0,0,0
12570,57.0,57.0,0.0,0,0
12571,55.32,55.19,-0.13000000000000256,0,0
12572,53.41,52.86,-0.5499999999999972,0,0
12573,55.9,55.84,-0.05999999999999517,0,0
12574,56.64,56.64,0.0,0,0
12575,56.14,56.11,-0.030000000000001137,0,0
12576,78.52,74.67,-3.8499999999999943,0,0
12577,54.28,84.72,30.439999999999998,1,0
12586,55.24,55.1,-0.14000000000000057,0,0
12587,56.64,56.64,0.0,0,0
12588,53.71,53.25,-0.46000000000000085,0,0
12589,57.06,57.06,0.0,0,0
12590,57.02,57.02,0.0,0,0
12596,56.86,56.86,0.0,0,0
12597,56.82,56.81,-0.00999999999999801,0,0
12598,56.76,56.75,-0.00999999999999801,0,0
12599,88.84,88.77,-0.07000000000000739,0,0
12600,55.82,55.76,-0.060000000000002274,0,0
12601,56.03,55.98,-0.05000000000000426,0,0
12602,84.82,84.58,-0.23999999999999488,0,0
12614,50.23,48.02,-2.2099999999999937,0,0
12615,44.9,0.0,-44.9,0,0
12616,56.19,56.16,-0.030000000000001137,0,0
12617,99.85,99.85,0.0,0,0
12618,98.03,97.94,-0.09000000000000341,0,0
12619,56.58,56.57,-0.00999999999999801,0,0
12621,56.94,56.94,0.0,0,0
12622,56.93,56.93,0.0,0,0
12623,56.88,56.88,0.0,0,0
12624,56.28,56.25,-0.030000000000001137,0,0
12625,57.04,57.04,0.0,0,0
12626,57.11,57.11,0.0,0,0
12627,57.09,57.09,0.0,0,0
12630,56.87,56.86,-0.00999999999999801,0,0
12631,55.88,55.82,-0.060000000000002274,0,0
12646,53.97,53.57,-0.3999999999999986,0,0
12647,57.09,57.09,0.0,0,0
12648,55.52,55.43,-0.09000000000000341,0,0
12649,56.91,56.9,-0.00999999999999801,0,0
12650,50.55,48.57,-1.9799999999999969,0,0
12662,79.83,77.25,-2.5799999999999983,0,0
12663,56.9,56.9,0.0,0,0
12664,57.04,57.04,0.0,0,0
12679,54.28,53.97,-0.3100000000000023,0,0
12680,55.46,55.36,-0.10000000000000142,0,0
12698,71.26,71.26,0.0,0,0
12735,56.06,56.01,-0.05000000000000426,0,0
12738,54.94,54.76,-0.17999999999999972,0,0
12745,49.49,46.69,-2.8000000000000043,0,0
12746,0.0,0.0,0.0,0,0
12747,0.0,0.0,0.0,0,0
12748,0.0,0.0,0.0,0,0
12749,0.0,0.0,0.0,0,0
12750,42.61,30.5,-12.11,0,0
12758,55.24,55.1,-0.14000000000000057,0,0
12759,57.07,57.07,0.0,0,0
12777,56.27,56.24,-0.030000000000001137,0,0
12790,86.84,86.61,-0.23000000000000398,0,0
12791,56.89,56.89,0.0,0,0
12792,54.62,54.38,-0.23999999999999488,0,0
12810,86.77,86.76,-0.009999999999990905,0,0
12814,56.14,56.11,-0.030000000000001137,0,0
12917,49.35,46.43,-2.9200000000000017,0,0
12918,54.08,53.71,-0.36999999999999744,0,0
12922,78.18,72.68,-5.5,0,0
