Unnamed: 0,NOMBRE DEL PUNTO DE MONITOREO,LATITUD,LONGITUD,ELEVACIÓN (m.s.n.m.),CORRIENTE,ZONA HIDROGRÁFICA - ZH,SZH - Código (#Área#Zona##Subzona),Nombre Subzona Hidrográfica,DEPARTAMENTO,MUNICIPIO,FECHA,PROPIEDAD OBSERVADA ,*RESULTADO,UNIDAD DEL RESULTADO,PROYECTO,CODIGO__MUESTRA,parameter_std,value_raw,is_censored,value_num,unit_raw
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,NITROGENO AMONIACAL,<0.3,mg N-NH3-/L,Ideam,14615,Ammoniacal Nitrogen,<0.3,True,0.3,mg N-NH3-/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,NITROGENO AMONIACAL,<0.3,mg N-NH3-/L,Ideam,20148,Ammoniacal Nitrogen,<0.3,True,0.3,mg N-NH3-/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2013-11-09,NITROGENO AMONIACAL,0.3,mg N-NH3-/L,Ideam,22820,Ammoniacal Nitrogen,0.3,False,0.3,mg N-NH3-/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2016-11-07,NITROGENO AMONIACAL,<0.3,mg N-NH3-/L,Ideam,25379,Ammoniacal Nitrogen,<0.3,True,0.3,mg N-NH3-/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,OXIGENO DISUELTO (OD),7.5,mg O2/L,Ideam,14615,Dissolved Oxygen,7.5,False,7.5,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,OXIGENO DISUELTO (OD),5.3,mg O2/L,Ideam,20148,Dissolved Oxygen,5.3,False,5.3,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2013-11-09,OXIGENO DISUELTO (OD),6.7,mg O2/L,Ideam,22820,Dissolved Oxygen,6.7,False,6.7,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2016-11-07,OXIGENO DISUELTO (OD),7.2,mg O2/L,Ideam,25379,Dissolved Oxygen,7.2,False,7.2,mg O2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,pH,7.69,Unidades de pH,Ideam,14615,pH,7.69,False,7.69,Unidades de pH
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,pH,7.94,unidades de pH,Ideam,20148,pH,7.94,False,7.94,unidades de pH
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2013-11-09,pH,7.8,unidades de pH,Ideam,22820,pH,7.8,False,7.8,unidades de pH
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2016-11-07,pH,6.43,unidades de pH,Ideam,25379,pH,6.43,False,6.43,unidades de pH
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,SOLIDOS SUSPENDIDOS TOTALES,310,mg/L,Ideam,14615,Total Suspended Solids,310,False,310.0,mg/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,SOLIDOS SUSPENDIDOS TOTALES,1010,mg/L,Ideam,20148,Total Suspended Solids,1010,False,1010.0,mg/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2013-11-09,SOLIDOS SUSPENDIDOS TOTALES,280,mg/L,Ideam,22820,Total Suspended Solids,280,False,280.0,mg/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2016-11-07,SOLIDOS SUSPENDIDOS TOTALES,290,mg/L,Ideam,25379,Total Suspended Solids,290,False,290.0,mg/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,SULFATO,<3,mg SO4-2/L,Ideam,14615,Sulfate,<3,True,3.0,mg SO4-2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,SULFATO,<3,mg SO4-2/L,Ideam,20148,Sulfate,<3,True,3.0,mg SO4-2/L
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,TEMPERATURA,23.3,°C,Ideam,14615,Temperature,23.3,False,23.3,°C
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,TEMPERATURA,21.2,°C,Ideam,20148,Temperature,21.2,False,21.2,°C
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2013-11-09,TEMPERATURA,24.8,°C,Ideam,22820,Temperature,24.8,False,24.8,°C
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2016-11-07,TEMPERATURA,21.9,°C,Ideam,25379,Temperature,21.9,False,21.9,°C
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2007-03-09,TURBIDEZ,180,NTU,Ideam,14615,Turbidity,180,False,180.0,NTU
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2011-04-11,TURBIDEZ,610,NTU,Ideam,20148,Turbidity,610,False,610.0,NTU
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2013-11-09,TURBIDEZ,160,NTU,Ideam,22820,Turbidity,160,False,160.0,NTU
,ARMA_CAL_AGUADAS_DESEMBOCADURA RIO ARMA,5.7375,-75.5975,612,ARMA,Cauca,2618,Río Arma,CALDAS,AGUADAS,2016-11-07,TURBIDEZ,280,NTU,Ideam,25379,Turbidity,280,False,280.0,NTU
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2006-04-27,CONDUCTIVIDAD ELECTRICA,58.2,µS/cm,Convenio CAM,13314,Electrical Conductivity,58.2,False,58.2,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2006-06-14,CONDUCTIVIDAD ELECTRICA,139,µS/cm,Convenio CAM,13565,Electrical Conductivity,139,False,139.0,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2007-04-26,CONDUCTIVIDAD ELECTRICA,46.3,µS/cm,Convenio CAM,14837,Electrical Conductivity,46.3,False,46.3,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2007-07-25,CONDUCTIVIDAD ELECTRICA,144,µS/cm,Convenio CAM,15240,Electrical Conductivity,144,False,144.0,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2008-05-29,CONDUCTIVIDAD ELECTRICA,94,µS/cm,Convenio CAM,16373,Electrical Conductivity,94,False,94.0,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2008-09-24,CONDUCTIVIDAD ELECTRICA,143,µS/cm,Convenio CAM,16757,Electrical Conductivity,143,False,143.0,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2009-06-17,CONDUCTIVIDAD ELECTRICA,124,µS/cm,Convenio CAM,17674,Electrical Conductivity,124,False,124.0,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2009-09-24,CONDUCTIVIDAD ELECTRICA,154,µS/cm,Convenio CAM,17920,Electrical Conductivity,154,False,154.0,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2010-09-24,CONDUCTIVIDAD ELECTRICA,135,µS/cm,Convenio CAM,19268,Electrical Conductivity,135,False,135.0,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2010-12-09,CONDUCTIVIDAD ELECTRICA,98.5,µS/cm,Convenio CAM,19633,Electrical Conductivity,98.5,False,98.5,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2011-09-13,CONDUCTIVIDAD ELECTRICA,129.8,µS/cm,Convenio CAM,20706,Electrical Conductivity,129.8,False,129.8,µS/cm
,BACHE_HUI_NEIVA_PTE.SAN FRANCISCO METALICO - BACHE,3.053444,-75.357444,448,BACHE,Alto Magdalena,2112,Río Baché,HUILA,NEIVA,2011-11-22,CONDUCTIVIDAD ELECTRICA,110.3,µS/cm,Convenio CAM,20975,Electrical Conductivity,110.3,False,110.3,µS/cm
