CODIGO__MUESTRA,FECHA,NOMBRE DEL PUNTO DE MONITOREO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,risk_DISCHARGE_CO_0631,risk_SANITARY_CO_2115,risk_SANITARY_EPA,critical_violation_any,sanitary_epa_minus_co
11354,2005-03-02 00:00:00,RCA_PASTO_NAR_PASTO_BOCATOMA CENTENARIO [52047030],NARIÑO,PASTO,1.201388889,-77.24777778,0.0,45.71,0.0,1,-45.71
11356,2005-03-04 00:00:00,RCA_DE ORO_SAN_GIRON_PALOGORDO [23197690],SANTANDER,GIRÓN,6.969166667,-73.13055556,0.0,53.25,52.63,1,-0.6199999999999974
11357,2005-03-04 00:00:00,RCA_DE ORO_SAN_PIEDECUESTA_CONQUISTADOR EL [23197430],SANTANDER,PIEDECUESTA,6.989444444,-73.04111111,33.25,56.91,56.9,1,-0.00999999999999801
11358,2005-03-04 00:00:00,LEBRIJA_SAN_GIRON_CAFE MADRID [23197290],SANTANDER,GIRÓN,7.17,-73.15,32.22,56.36,56.34,1,-0.01999999999999602
11363,2005-03-05 00:00:00,RCA_UNE_CUN_UNE_CARAZA [35027100],CUNDINAMARCA,UNE,4.428638889,-74.01019444,0.0,48.4,44.54,1,-3.8599999999999994
11364,2005-03-07 00:00:00,RCA_OTUN_RIS_SANTA ROSA DE CABAL_BANANERA LA 6-909 [26137110],RISARALDA,PEREIRA,4.773388889,-75.63305556,0.0,42.1,0.0,1,-42.1
11366,2005-03-08 00:00:00,RCA_MONIQUIRA_BOY_MONIQUIRA_MONIQUIRA [24017600],BOYACÁ,MONIQUIRÁ,5.878138889,-73.57025,33.03,56.77,56.76,1,-0.010000000000005116
11380,2005-03-07 00:00:00,RCA_CABRERA_HUI_VILLAVIEJA_SAN ALFONSO [21147010],HUILA,VILLAVIEJA,3.3705,-75.11416667,33.29,57.13,57.13,1,0.0
11381,2005-03-08 00:00:00,RCA_LAS CEIBAS_HUI_NEIVA_GUAYABO [21117080],HUILA,NEIVA,2.92,-75.15,0.0,52.38,51.43,1,-0.9500000000000028
11383,2005-03-10 00:00:00,RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],HUILA,NEIVA,2.942611111,-75.30852778,0.0,55.86,55.8,1,-0.060000000000002274
11384,2005-03-06 00:00:00,RCA_VICHADA_VIC_CUMARIBO_STA.RITA [33077010],VICHADA,CUMARIBO,4.866127,-68.362697,0.0,51.02,49.35,1,-1.6700000000000017
11385,2005-03-09 00:00:00,RCA_INIRIDA_GUAI_INIRIDA_PTO.INIRIDA [31097020],GUAINÍA,INÍRIDA,3.867666667,-67.931694444,0.0,83.43,82.0,1,-1.4300000000000068
11386,2005-03-03 00:00:00,RCA_CAUCA_CAL_NEIRA_IRRA [26167070],CALDAS,NEIRA,5.268305556,-75.66419444,33.17,56.84,56.83,1,-0.010000000000005116
11387,2005-03-08 00:00:00,RCA_SINU_COR_MONTERIA_MONTERIA [13067020],CORDOBA,MONTERÍA,8.751611111,-75.89241667,0.0,55.15,55.0,1,-0.14999999999999858
11388,2005-03-02 00:00:00,RCA_SINU_COR_LORICA_LADOCTRINA [13077040],CORDOBA,LORICA,9.294874,-75.893375,0.0,56.01,55.97,1,-0.03999999999999915
11389,2005-03-10 00:00:00,RCA_CHINCHINA_CAL_MANIZALES_RETIRO EL [26157020],CALDAS,PALESTINA,5.126777778,-75.67119444,30.0,55.32,55.19,1,-0.13000000000000256
11392,2005-03-08 00:00:00,RCA_MAGDALENA_CUN_PUERTO SALGAR_PTO.SALGAR [23037010],CUNDINAMARCA,PUERTO SALGAR,5.469666667,-74.66216667,33.24,56.87,56.87,1,0.0
11393,2005-03-10 00:00:00,RCA_GUARINO_TOL_HONDA_PTE.CARRETERA [23027060],TOLIMA,HONDA,5.289277778,-74.74608333,33.29,57.09,57.09,1,0.0
11395,2005-03-12 00:00:00,RCA_NEGRO_CUN_GUADUAS_GUADUERO [23067050],CUNDINAMARCA,GUADUAS,5.192111111,-74.57291667,33.03,56.82,56.82,1,0.0
11396,2005-03-13 00:00:00,GUALI_TOL_HONDA_PTE.LOPEZ [23017030],TOLIMA,HONDA,5.203888889,-74.74111111,33.16,57.04,57.03,1,-0.00999999999999801
11398,2005-03-01 00:00:00,RCA_MAGDALENA_CUN_NARINO_NARINO [21237010],CUNDINAMARCA,NARIÑO,4.387777778,-74.838375,33.1,56.8,56.8,1,0.0
11403,2005-03-15 00:00:00,RCA_YAGUARA_HUI_YAGUARA_HDA.VENECIA [21087080],HUILA,YAGUARÁ,2.64,-75.54,0.0,98.54,98.5,1,-0.04000000000000625
11405,2005-03-02 00:00:00,RCA_CASANARE_ARA_CRAVO NORTE_CRAVONORTE [36027050],ARAUCA,CRAVO NORTE,6.295638889,-70.19433333,0.0,54.38,54.08,1,-0.30000000000000426
11406,2005-03-07 00:00:00,RCA_META_VIC_PUERTO CARRENO_ACEITICO [35257040],VICHADA,PUERTO CARREÑO,6.1835,-68.441556,0.0,53.71,53.25,1,-0.46000000000000085
11408,2005-03-12 00:00:00,RCA_ORINOCO_VIC_PUERTO CARRENO_PTO.CARRENO [38017010],VICHADA,PUERTO CARREÑO,6.176527778,-67.47958333,0.0,52.1,51.02,1,-1.0799999999999983
11410,2005-03-16 00:00:00,RCA_META_MET_PUERTO LOPEZ_PTE.LLERAS [35017020],META,PUERTO LÓPEZ,4.103019444,-72.936383333,0.0,85.74,85.34,1,-0.3999999999999915
11439,2005-03-19 00:00:00,RCA_LAGUNILLA_TOL_LERIDA_ESMERALDA LA [21257090],TOLIMA,LÉRIDA,4.890777778,-74.85313889,0.0,55.36,55.24,1,-0.11999999999999744
