NOMBRE DEL PUNTO DE MONITOREO,n_samples,sanitary_mean,discharge_mean,critical_rate_pct,LATITUD,LONGITUD,DEPARTAMENTO,MUNICIPIO,sanitary_rank,discharge_rank
RCA_GUAVIARE_MET_MAPIRIPAN_MAPIRIPAN [32097010],28.0,66.18535714285714,25.807142857142857,100.0,2.889722222,-72.13011111,META,MAPIRIPÁN,14.0,50.0
RCA_GUAVIARE_VIC_CUMARIBO_CEJAL [32207010],32.0,59.878484848484845,16.46909090909091,93.93939393939394,3.993665,-68.333828,VICHADA,CUMARIBO,61.0,93.0
RCA_GUAVIO_CUN_GACHETA_PTE.REYES [35067330],23.0,53.80173913043478,4.2700000000000005,82.6086956521739,4.81775,-73.64261111,CUNDINAMARCA,GACHETÁ,164.0,181.0
RCA_GUAVIO_CUN_JUNIN_PTE.HOLGUIN [35067050],31.0,64.94645161290322,9.346451612903227,96.7741935483871,4.799055556,-73.62922222,CUNDINAMARCA,GACHETÁ,23.0,140.0
RCA_GUAYURIBA_MET_VILLAVICENCIO_PTE.CARRETERA [35027140],36.0,58.31194444444444,30.543055555555554,100.0,4.04947,-73.76442,META,VILLAVICENCIO,84.0,25.0
RCA_GUEJAR_MET_VISTA HERMOSA_PINALITO [32077070],39.0,56.81975,11.5405,97.5,2.97548,-73.67673,META,VISTAHERMOSA,99.0,121.0
RCA_GUIZA_NAR_RICAURTE_PILISPI [51027020],47.0,48.464680851063825,1.612127659574468,87.2340425531915,1.206083333,-77.98513889,NARIÑO,RICAURTE,211.0,206.0
RCA_HACHA_CAQ_FLORENCIA_FLORENCIA [44037060],43.0,51.633023255813946,2.184186046511628,93.02325581395348,1.621166667,-75.61922222,CAQUETA,FLORENCIA,190.0,199.0
RCA_HUMEA_CUN_PARATEBUENO_CABLE EL [35057010],36.0,50.0945945945946,17.926216216216215,91.8918918918919,4.396951,-73.292706,CUNDINAMARCA,PARATEBUENO,203.0,83.0
RCA_INIRIDA_GUAI_INIRIDA_PTO.INIRIDA [31097020],34.0,79.79705882352943,0.0,100.0,3.867666667,-67.931694444,GUAINÍA,INÍRIDA,3.0,214.0
RCA_LA COLORADA_SAN_SIMACOTA_AYACUCHO [23147040],9.0,59.62111111111111,25.834444444444443,100.0,6.855805556,-73.76933333,SANTANDER,SIMACOTA,65.0,49.0
RCA_LA MIEL_ANT_SONSON_SAN MIGUEL [23057140],35.0,52.78742857142857,14.981142857142858,97.14285714285714,5.731027778,-74.72583333,ANTIOQUIA,SONSÓN,179.0,103.0
RCA_LA VIEJA_VAL_CARTAGO_CARTAGO [26127040],30.0,58.8016129032258,16.135161290322582,100.0,4.757611111,-75.89925,RISARALDA,PEREIRA,74.0,96.0
RCA_LAG.DE TOTA_BOY_AQUITANIA_ESCALERAS [35097070],44.0,23.282727272727275,0.0,56.81818181818182,5.491944444,-72.9385,BOYACÁ,TOTA,237.0,214.0
RCA_LAG.GUAMUEZ_NAR_PASTO_SINDAMANOY [47017580],41.0,12.822682926829268,0.0,39.02439024390244,1.135222222,-77.14719444,NARIÑO,PASTO,241.0,214.0
RCA_LAGUNILLA_TOL_LERIDA_ESMERALDA LA [21257090],36.0,55.06944444444445,16.49055555555556,97.22222222222221,4.890777778,-74.85313889,TOLIMA,LÉRIDA,144.0,91.0
RCA_LAS CEIBAS_HUI_NEIVA_GUAYABO [21117080],41.0,46.666666666666664,2.298095238095238,90.47619047619048,2.92,-75.15,HUILA,NEIVA,218.0,196.0
RCA_LEBRIJA_SAN_SABANA DE TORRES_SAN RAFAEL [23197370],27.0,55.605555555555554,34.75592592592592,100.0,7.578055556,-73.56055556,SANTANDER,SABANA DE TORRES,135.0,9.0
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],52.0,67.75301886792454,1.7815094339622641,100.0,5.32825,-73.69972222,CUNDINAMARCA,LENGUAZAQUE,12.0,202.0
RCA_MAGDALENA BZO.DE LOBA_BOL_MAGANGUE_MAGANGUE [25027680],36.0,64.26864864864865,28.927837837837835,100.0,9.24,-74.74166667,BOLÍVAR,MAGANGUÉ,27.0,35.0
RCA_MAGDALENA BZO.MOMPOS_MAG_SANTA ANA_SANTA ANA [25027370],30.0,61.62741935483869,30.554516129032255,100.0,9.320252778,-74.57455833,MAGDALENA,SANTA ANA,41.0,23.0
RCA_MAGDALENA_ATL_BARRANQUILLA_LAS FLORES [29045180],32.0,58.735937500000006,31.5596875,100.0,11.039361111,-74.81975,ATLANTICO,BARRANQUILLA,77.0,17.0
RCA_MAGDALENA_BOL_CALAMAR_CALAMAR [29037020],39.0,59.04589743589744,30.29923076923077,100.0,10.244042,-74.914705,BOLÍVAR,CALAMAR,71.0,27.0
RCA_MAGDALENA_BOL_CORDOBA_TACAMOCHO[25027940],35.0,62.73138888888887,29.8475,100.0,9.493583333,-74.81538889,BOLÍVAR,CÓRDOBA,33.0,31.0
RCA_MAGDALENA_BOL_REGIDOR_REGIDOR [25027410],32.0,53.3865625,28.389375,93.75,8.666333333,-73.82080556,BOLÍVAR,REGIDOR,170.0,38.0
RCA_MAGDALENA_CUN_GIRARDOT_GIRARDOT [21237030],51.0,55.95549019607843,20.05450980392157,100.0,4.288073,-74.808592,CUNDINAMARCA,GIRARDOT,126.0,71.0
RCA_MAGDALENA_CUN_NARINO_NARINO [21237010],33.0,56.667575757575754,27.336666666666666,100.0,4.387777778,-74.838375,CUNDINAMARCA,NARIÑO,106.0,42.0
RCA_MAGDALENA_CUN_PUERTO SALGAR_PTO.SALGAR [23037010],60.0,50.545833333333334,26.867457627118647,88.33333333333333,5.469666667,-74.66216667,CUNDINAMARCA,PUERTO SALGAR,199.0,45.0
RCA_MAGDALENA_HUI_ALTAMIRA_PERICONGO [21027010],32.0,51.275,8.275,96.875,2.053166667,-75.85188889,HUILA,ALTAMIRA,194.0,148.0
RCA_MAGDALENA_HUI_GIGANTE_PASO DEL COLEGIO [21077020],59.0,57.66033898305085,16.43406779661017,98.30508474576271,2.462555556,-75.56686111,HUILA,GIGANTE,89.0,94.0
RCA_MAGDALENA_HUI_NEIVA_PTE.SANTANDER [21097070],57.0,55.887017543859656,4.855087719298246,96.49122807017544,2.942611111,-75.30852778,HUILA,NEIVA,128.0,170.0
RCA_MAGDALENA_MAG_EL BANCO_EL BANCO [25027020],39.0,58.5351282051282,27.403076923076924,94.87179487179486,8.992527778,-73.96944444,MAGDALENA,EL BANCO,80.0,41.0
RCA_MAGDALENA_SAN_BARRANCABERMEJA_BARRANCABERMEJA [23157030],13.0,52.5123076923077,30.814615384615387,100.0,7.060194444,-73.876,SANTANDER,BARRANCABERMEJA,182.0,21.0
RCA_MAGDALENA_TOL_FLANDES_ISLA DEL AMOR,51.0,55.939215686274494,19.203333333333337,100.0,4.281944444,-74.77694444,TOLIMA,FLANDES,127.0,75.0
RCA_MAGDALENA_TOL_NATAGAIMA_ANGOSTURA [21137050],77.0,56.69961538461539,15.156153846153844,97.43589743589743,3.44,-75.12,TOLIMA,NATAGAIMA,105.0,101.0
RCA_META_MET_PUERTO LOPEZ_PTE.LLERAS [35017020],37.0,62.606756756756766,32.380810810810814,100.0,4.103019444,-72.936383333,META,PUERTO LÓPEZ,35.0,13.0
RCA_META_VIC_PUERTO CARRENO_ACEITICO [35257040],38.0,65.7779487179487,28.701025641025645,100.0,6.1835,-68.441556,VICHADA,PUERTO CARREÑO,18.0,36.0
RCA_MINERO_BOY_PAUNA_BORBUR [23127010],37.0,61.31405405405406,31.489729729729728,100.0,5.649388889,-74.05502778,BOYACÁ,PAUNA,46.0,18.0
RCA_MONIQUIRA_BOY_MONIQUIRA_MONIQUIRA [24017600],44.0,56.23266666666666,7.590888888888889,95.55555555555556,5.878138889,-73.57025,BOYACÁ,MONIQUIRÁ,115.0,155.0
RCA_NARE_ANT_CARACOLI_CANTERAS [23087210],33.0,56.38999999999999,6.222424242424243,100.0,6.276083333,-74.67330556,ANTIOQUIA,PUERTO NARE,112.0,165.0
RCA_NECHI_ANT_NECHI_LA ESPERANZA [27037010],32.0,58.33848484848485,30.290909090909093,96.96969696969697,8.031943889,-74.788805556,ANTIOQUIA,NECHÍ,83.0,28.0
RCA_NEGRO_ANT_RIONEGRO_FRESERA LA [23087830],29.0,62.16827586206897,9.023793103448275,100.0,6.199722222,-75.33408333,ANTIOQUIA,RIONEGRO,39.0,143.0
RCA_NEGRO_ANT_RIONEGRO_PTE.REAL [23087150],35.0,61.55314285714286,4.555714285714285,100.0,6.143472222,-75.37994444,ANTIOQUIA,RIONEGRO,42.0,177.0
RCA_NEGRO_CUN_GUADUAS_GUADUERO [23067050],63.0,53.0231746031746,30.55079365079365,95.23809523809523,5.192111111,-74.57291667,CUNDINAMARCA,GUADUAS,176.0,24.0
RCA_NEGRO_CUN_NIMAIMA_TOBIA [23067060],54.0,55.3337037037037,19.327037037037034,94.44444444444444,5.125305556,-74.44705556,CUNDINAMARCA,NIMAIMA,140.0,74.0
RCA_NEGRO_CUN_PUERTO SALGAR_PTO.LIBRE [23067040],41.0,54.03048780487805,44.58878048780487,97.5609756097561,5.759222222,-74.63175,CUNDINAMARCA,PUERTO SALGAR,160.0,3.0
RCA_NEIVA_HUI_CAMPOALEGRE_PTE.MULAS [21107020],74.0,51.7408,6.330666666666666,93.33333333333333,2.566388889,-75.37427778,HUILA,CAMPOALEGRE,189.0,164.0
RCA_NEVADO_BOY_GUICAN_SAN LUIS [24037380],4.0,59.72,15.9875,100.0,6.459666667,-72.43086111,BOYACÁ,GUICÁN,64.0,98.0
RCA_OCOA_MET_VILLAVICENCIO_PTE.DELAMOR [35037130],37.0,75.85108108108109,0.8921621621621622,100.0,4.086083333,-73.668861,META,VILLAVICENCIO,5.0,212.0
RCA_OPON_SAN_SIMACOTA_PTE.FERROCARRIL [23147020],32.0,53.4915625,33.6340625,96.875,6.773611111,-73.935,SANTANDER,SIMACOTA,169.0,10.0
RCA_ORINOCO_VIC_CUMARIBO_PTO.NARINO [38027020],24.0,68.43791666666667,0.0,100.0,4.956861111,-67.83416667,VICHADA,CUMARIBO,11.0,214.0
RCA_ORINOCO_VIC_PUERTO CARRENO_PTO.CARRENO [38017010],38.0,73.38820512820514,0.0,100.0,6.176527778,-67.47958333,VICHADA,PUERTO CARREÑO,7.0,214.0
RCA_OTUN_RIS_SANTA ROSA DE CABAL_BANANERA LA 6-909 [26137110],32.0,50.98060606060606,0.0,96.96969696969697,4.773388889,-75.63305556,RISARALDA,PEREIRA,197.0,214.0
RCA_PAEZ_HUI_TESALIA_PAICOL [21057060],80.0,56.82567901234569,16.783456790123456,98.76543209876543,2.46,-75.76,HUILA,TESALIA,98.0,89.0
RCA_PAMPLONITA_NOR_CHINACOTA_LA DONJUANA [16017020],32.0,54.9240625,11.7378125,100.0,7.687972222,-72.60547222,NORTE DE SANTANDER,CHINÁCOTA,147.0,118.0
RCA_PAMPLONITA_NOR_CUCUTA_AGUAS CLARAS [16017010],37.0,53.53540540540541,19.46540540540541,97.2972972972973,8.233611111,-72.41722222,NORTE DE SANTANDER,CÚCUTA,168.0,72.0
RCA_PASTO_NAR_EL TAMBO_PROVIDENCIA [52047040],36.0,61.31833333333332,6.491666666666667,97.22222222222221,1.431944444,-77.30055556,NARIÑO,CHACHAGUÍ,45.0,163.0
RCA_PASTO_NAR_PASTO_BOCATOMA CENTENARIO [52047030],46.0,52.46630434782608,4.372391304347826,97.82608695652173,1.201388889,-77.24777778,NARIÑO,PASTO,183.0,180.0
RCA_PASTO_NAR_PASTO_UNIVERSIDAD [52047010],45.0,60.089111111111116,50.75911111111111,100.0,1.234333333,-77.29294444,NARIÑO,PASTO,56.0,2.0
RCA_PATIA_NAR_CUMBITARA_PTE.PUSMEO [52077010],40.0,59.810750000000006,26.446749999999998,97.5,1.624055556,-77.47891667,NARIÑO,CUMBITARA,63.0,47.0
RCA_PATIA_NAR_POLICARPA_PTE.GUASCAS [52017010],37.0,60.02783783783784,22.649459459459457,100.0,1.594277778,-77.42936111,NARIÑO,POLICARPA,57.0,61.0
RCA_PUTUMAYO_PUT_SANTIAGO_EDEN EL [47017070],40.0,65.20325,5.366,100.0,1.106305556,-76.985,PUTUMAYO,SANTIAGO,22.0,169.0
RCA_QDA.RINCON_CUN_LA CALERA_QDA.RINCON [35027500],13.0,41.787692307692296,0.0,76.92307692307693,4.664944444,-73.85738889,CUNDINAMARCA,LA CALERA,222.0,214.0
RCA_QDA.SAN ANTONIO_CAL_VILLAMARIA_SAN ANTONIO [26157210],10.0,35.8,0.0,80.0,4.886611111,-75.428972222,CALDAS,VILLAMARIA,228.0,214.0
RCA_RANCHERIA_LGU_ALBANIA_CUESTECITAS [15067050],27.0,58.76962962962963,20.397037037037038,100.0,11.18033333,-72.55344444,LA GUAJIRA,ALBANIA,76.0,68.0
RCA_RANCHERIA_LGU_RIOHACHA_PTE.CARRETERA [15067220],3.0,66.28666666666668,11.043333333333335,100.0,11.51097222,-72.85594444,LA GUAJIRA,RIOHACHA,13.0,129.0
RCA_RANCHERIA_LGU_SAN JUAN DEL CESAR_CERCADO EL [15067020],16.0,49.031875,0.0,93.75,10.9075,-73.00833333,LA GUAJIRA,FONSECA,208.0,214.0
RCA_RECIO_TOL_VENADILLO_NUEVA LA [21257100],32.0,55.63354838709677,11.357187500000002,96.875,4.795083333,-74.97194444,TOLIMA,VENADILLO,134.0,126.0
RCA_RUCIO_CUN_UBALA_MUNDONUEVO[35067130],53.0,62.5945283018868,10.192641509433964,94.33962264150944,4.852833333,-73.39297222,CUNDINAMARCA,UBALÁ,36.0,135.0
RCA_SALDANA_TOL_SALDANA_PIEDRAS DE COBRE [22057010],29.0,56.211724137931036,30.146896551724137,96.55172413793103,3.90865,-75.104,TOLIMA,SALDAÑA,116.0,29.0
RCA_SAN JORGE_BOL_MAGANGUE_SANANTONIO[25027180],26.0,61.021428571428565,5.441428571428571,100.0,9.039073,-74.767704,BOLÍVAR,MAGANGUÉ,48.0,168.0
RCA_SAN JORGE_COR_BUENAVISTA_MARRALU [25027120],33.0,65.79757575757574,26.899696969696972,100.0,8.32,-75.24,CORDOBA,AYAPEL,17.0,44.0
RCA_SAN JORGE_COR_MONTELIBANO_MONTELIBANO [25017010],30.0,60.82633333333334,31.218,100.0,7.98817,-75.417483,CORDOBA,MONTELÍBANO,49.0,20.0
RCA_SARDINATA_NOR_TIBU_CAMPO DOS [16037020],1.0,56.7,0.0,100.0,8.488055556,-72.63111111,NORTE DE SANTANDER,TIBÚ,104.0,214.0
RCA_SEVILLA_MAG_ZONA BANANERA_CANAL FLORIDA [29067050],18.0,51.25277777777777,3.6755555555555555,88.88888888888889,10.756182,-74.086145,MAGDALENA,ZONA BANANERA,195.0,185.0
RCA_SINU_COR_LORICA_LADOCTRINA [13077040],33.0,57.99333333333333,13.501818181818182,100.0,9.294874,-75.893375,CORDOBA,LORICA,86.0,109.0
RCA_SINU_COR_MONTERIA_MONTERIA [13067020],35.0,59.382,15.403142857142853,100.0,8.751611111,-75.89241667,CORDOBA,MONTERÍA,67.0,100.0
RCA_SOGAMOSO_SAN_LOS SANTOS_EL JUNCAL [2405700149],7.0,56.90714285714285,33.22714285714285,100.0,6.793777778,-73.198638889,SANTANDER,LOS SANTOS,95.0,11.0
RCA_SOGAMOSO_SAN_PUERTO WILCHES_PTE.SOGAMOSO [24067020],35.0,56.94176470588235,18.734,91.42857142857143,7.244166667,-73.7875,SANTANDER,PUERTO WILCHES,94.0,79.0
RCA_SUAREZ_SAN_PUENTE NACIONAL_PTE.NACIONAL [24017590],43.0,51.78681818181819,16.918181818181814,93.18181818181817,5.872777778,-73.67777778,SANTANDER,PUENTE NACIONAL,188.0,88.0
RCA_SUAZA_HUI_GUADALUPE_PTE.GARCES [21037010],68.0,55.591029411764715,8.305588235294119,97.05882352941177,2.03,-75.78,HUILA,ALTAMIRA,136.0,146.0
RCA_SUBIA_CUN_SILVANIA_SILVANIA [21197110],56.0,60.26642857142857,3.093571428571429,91.07142857142857,4.403055556,-74.385305556,CUNDINAMARCA,SILVANIA,53.0,189.0
RCA_SUMAPAZ_CUN_RICAURTE_SAN MIGUEL-SUMAPAZ [2119700147],50.0,58.58860000000001,14.620199999999997,100.0,4.248085,-74.744647,CUNDINAMARCA,RICAURTE,79.0,105.0
RCA_SUMAPAZ_TOL_ICONONZO_PLAYA LA [21197030],55.0,60.371818181818185,4.112,92.72727272727272,4.19225,-74.500722222,TOLIMA,ICONONZO,52.0,183.0
RCA_SUMAPAZ_TOL_MELGAR_LIMONAR EL [21197150],51.0,57.10960784313727,8.735098039215686,100.0,4.232555556,-74.62055556,TOLIMA,MELGAR,93.0,145.0
RCA_SURATA_SAN_BUCARAMANGA_MAJADAS [23197700],10.0,54.878,13.003,100.0,7.160277778,-73.09305556,SANTANDER,BUCARAMANGA,148.0,113.0
RCA_TUCURINCA_MAG_CIENAGA_TREBOL EL [29067010],17.0,57.15117647058824,3.671764705882353,94.11764705882352,10.63591667,-74.14633333,MAGDALENA,CIÉNAGA,92.0,186.0
RCA_UNE_CUN_UNE_CARAZA [35027100],56.0,61.417719298245615,4.527368421052632,98.24561403508771,4.428638889,-74.01019444,CUNDINAMARCA,UNE,44.0,178.0
RCA_VAUPES_VAU_MITU_MITU [42077020],33.0,75.15878787878788,0.0,96.96969696969697,1.259806,-70.239167,VAUPES,MITÚ,6.0,214.0
RCA_VETAS_SAN_SURATA_PUENTE PANEGA [23197270],9.0,56.13444444444444,23.487777777777776,100.0,7.341111111,-72.99,SANTANDER,SURATÁ,121.0,56.0
RCA_VICHADA_VIC_CUMARIBO_STA.RITA [33077010],30.0,68.65100000000001,0.0,100.0,4.866127,-68.362697,VICHADA,CUMARIBO,9.0,214.0
RCA_VILLETA_CUN_VILLETA_VILLETA [23067070],54.0,49.57185185185185,18.574814814814815,88.88888888888889,5.008583333,-74.467111111,CUNDINAMARCA,VILLETA,206.0,80.0
RCA_YAGUARA_HUI_YAGUARA_HDA.VENECIA [21087080],78.0,53.730384615384615,9.315641025641026,97.43589743589743,2.64,-75.54,HUILA,YAGUARÁ,165.0,141.0
RCA_ZULIA_NOR_DURANIA_SAN JAVIER-PTE.ZULIA [16027001],27.0,58.8062962962963,10.785925925925925,100.0,7.836388889,-72.65083333,NORTE DE SANTANDER,DURANIA,73.0,131.0
RCA_ZULIA_NOR_PUERTO SANTANDER_PTO.LEON [16027060],24.0,57.6675,23.976250000000004,100.0,8.350277778,-72.43472222,NORTE DE SANTANDER,PUERTO SANTANDER,88.0,53.0
SAN ALBERTO_CES_SAN ALBERTO_EL HOYO [23197410],7.0,56.075714285714284,18.884285714285713,100.0,7.684722222,-73.50888889,CESAR,SAN ALBERTO,124.0,78.0
SAN JUAN_ANT_CIUDAD BOLIVAR_REMOLINO EL [26197030],27.0,51.807037037037034,14.677037037037037,88.88888888888889,5.8808,-75.908311111,ANTIOQUIA,PUEBLORRICO,187.0,104.0
SOGAMOSO_SAN_PUERTO WILCHES_DESEMBOCADURA RIO SOGAMOSO,12.0,56.10166666666667,3.8433333333333337,100.0,2.971777778,-73.91583333,SANTANDER,PUERTO WILCHES,123.0,184.0
SUAZA_HUI_ACEVEDO_SAN MARCOS [21037020],26.0,54.528076923076924,1.758076923076923,100.0,1.752277778,-75.94541667,HUILA,ACEVEDO,154.0,203.0
SUAZA_HUI_GARZON_DESEMBOCADURA PTE.LA JAGUA,29.0,54.785172413793106,10.778275862068964,100.0,2.172778,-75.669722,HUILA,GARZÓN,150.0,132.0
SUAZA_HUI_SUAZA_PTE.AVISPERO,23.0,53.96217391304349,7.934347826086957,100.0,1.866686,-75.824,HUILA,SUAZA,161.0,151.0
VILLAVIEJA_HUI_TELLO_BOCATOMA TELLO,10.0,52.212,8.936000000000002,100.0,3.052222,-75.061667,HUILA,TELLO,185.0,144.0
YAGUARA_HUI_YAGUARA_LA FLORESTA,10.0,53.835,6.553,100.0,2.630278,-75.587778,HUILA,YAGUARÁ,163.0,160.0
