NOMBRE DEL PUNTO DE MONITOREO,n_samples,sanitary_mean,discharge_mean,critical_rate_pct,LATITUD,LONGITUD,DEPARTAMENTO,MUNICIPIO,sanitary_rank,discharge_rank
GUARAPAS_HUI_PITALITO_ANTES DESEMBOCADURA EN RIO MAGDALENA,5.0,51.172000000000004,0.0,100.0,1.877277778,-76.16143611,HUILA,PITALITO,196.0,214.0
GUARAPAS_HUI_PITALITO_DESEMBOCADURA DE RIO GUACHICOS,24.0,55.364583333333336,2.7600000000000002,100.0,1.868451,-76.145781,HUILA,PITALITO,139.0,194.0
GUIZA_NAR_RICAURTE_PIPIGUAY [51027050],22.0,38.133636363636356,2.9713636363636367,77.27272727272727,1.236944444,-78.09722222,NARIÑO,RICAURTE,225.0,193.0
LEBRIJA_CES_AGUACHICA_DESEMBOCADURA RIO LEBRIJA,11.0,56.15909090909091,4.622727272727273,100.0,8.131111111,-73.77305556,CESAR,AGUACHICA,120.0,175.0
LEBRIJA_SAN_GIRON_CAFE MADRID [23197290],38.0,57.20157894736842,19.049210526315797,100.0,7.17,-73.15,SANTANDER,GIRÓN,91.0,76.0
LEBRIJA_SAN_LEBRIJA_ANGOSTURAS [23197400],6.0,56.166666666666664,29.189999999999998,100.0,7.335277778,-73.33083333,SANTANDER,LEBRIJA,119.0,34.0
LEBRIJA_SAN_PUERTO WILCHES_SAN JUAN DE LOS CHORROS  [2319700096],7.0,56.81857142857143,38.72714285714285,100.0,7.692805556,-73.774055556,SANTANDER,PUERTO WILCHES,100.0,5.0
MAGDALENA/CANAL DEL DIQUE_ATL_SANTA LUCIA_INCORA K-7 [29037360],30.0,61.42833333333333,29.943333333333335,96.66666666666667,10.30280833,-74.94655833,ATLANTICO,SANTA LUCIA,43.0,30.0
MAGDALENA_BOL_SAN PABLO_SAN PABLO RIO MAGDALENA  - AUT [23207040],7.0,56.81285714285714,28.437142857142856,100.0,7.480333333,-73.918555556,BOLÍVAR,SAN PABLO,101.0,37.0
MAGDALENA_HUI_AGRADO_PTE.BALSEADERO [21047010],42.0,56.19547619047619,15.584285714285713,97.61904761904762,2.232361111,-75.64855556,HUILA,AGRADO,117.0,99.0
MAGDALENA_HUI_AIPE_ANTES DEL RIO AIPE (DESPUÉS DE POBLACIONES AIPE Y VILLAVIEJA),7.0,53.62428571428571,3.2914285714285714,100.0,3.258806,-75.228506,HUILA,AIPE,166.0,187.0
MAGDALENA_HUI_ALTAMIRA_DESPUES VERTIMIENTOS DE ALTAMIRA,2.0,65.65,11.53,100.0,2.106561,-75.765027,HUILA,ALTAMIRA,20.0,122.0
MAGDALENA_HUI_ELIAS_SALADO BLANCO [21017040],24.0,51.848749999999995,4.507083333333333,100.0,1.9880833,-76.012083333,HUILA,ELÍAS,186.0,179.0
MAGDALENA_HUI_GIGANTE_LAS VUELTAS MG-4,12.0,55.16833333333333,13.158333333333333,100.0,2.527108,-75.537722,HUILA,GIGANTE,142.0,110.0
MAGDALENA_HUI_GIGANTE_SALIDA REPRESA EL QUIMBO,14.0,51.33666666666667,3.0679999999999996,100.0,2.456111,-75.568333,HUILA,GIGANTE,193.0,190.0
MAGDALENA_HUI_NEIVA _DESPUES VERTIMIENTOS MUNICIPIO NEIVA (1000 metros),2.0,56.065,11.47,100.0,2.99285,-75.276223,HUILA,NEIVA,125.0,124.0
MAGDALENA_HUI_NEIVA_FRENTE PUERTO LA CEBOLLERA,19.0,54.81999999999999,4.7368421052631575,100.0,2.9925,-75.26916667,HUILA,NEIVA,149.0,172.0
MAGDALENA_HUI_PALERMO_ESPERANZA LA [21097120],30.0,57.28548387096775,1.3348387096774192,100.0,2.728416667,-75.39638889,HUILA,PALERMO,90.0,207.0
MAGDALENA_HUI_PITALITO_PTE.PASO LA LAGUNA,25.0,50.531600000000005,6.5048,96.0,1.950639,-76.058667,HUILA,PITALITO,200.0,162.0
MAGDALENA_HUI_SAN AGUSTIN_MAGDALENA LA [21017060],26.0,45.348076923076924,0.0,96.15384615384616,1.905,-76.40111111,HUILA,SAN AGUSTÍN,219.0,214.0
MAGDALENA_HUI_TARQUI_PTE.GUACAS,12.0,56.56,5.6691666666666665,100.0,2.156447,-75.73695,HUILA,TARQUI,109.0,167.0
MAGDALENA_HUI_TARQUI_PTE.SAN ESTEBAN,15.0,50.082,7.606666666666667,93.33333333333333,2.101944,-75.811944,HUILA,TARQUI,204.0,154.0
MAGDALENA_SAN_PUERTO PARRA_DESPUES DEL RIO CARARE,3.0,56.52,22.536666666666665,100.0,6.795694,-74.093484,SANTANDER,PUERTO PARRA,111.0,62.0
MAGDALENA_SAN_PUERTO WILCHES_PTO.WILCHES [23187010],7.0,56.89714285714286,32.42857142857142,100.0,7.344388889,-73.90505556,SANTANDER,PUERTO WILCHES,96.0,12.0
MAGDALENA_SAN_PUERTO WILCHES_SITIO NUEVO R-11 [23187280],14.0,56.84285714285714,26.29642857142857,100.0,7.784,-73.80191667,SANTANDER,PUERTO WILCHES,97.0,48.0
MIRA_NAR_TUMACO_SAN JUAN [51027060],24.0,47.97,11.504166666666668,87.5,1.423888889,-78.67027778,NARIÑO,TUMACO,214.0,123.0
NARANJOS/SOMBRERILLO_HUI_SAN AGUSTIN_PTE.SOBRE EL NARANJOS/SOMBRERILLO,26.0,45.29884615384614,2.039230769230769,92.3076923076923,1.869694,-76.233639,HUILA,SAN AGUSTÍN,220.0,200.0
NEGRO_BOY_PUERTO BOYACA_DESEMBOCADURA RIO NEGRO,5.0,56.760000000000005,18.412,100.0,5.736085,-74.644393,CUNDINAMARCA,PUERTO SALGAR,102.0,81.0
NEIVA_HUI_ALGECIRAS_CASIL EL [21107030],26.0,54.75384615384615,11.42576923076923,100.0,2.544777778,-75.30155556,HUILA,ALGECIRAS,151.0,125.0
NEIVA_HUI_RIVERA_DESEMBOCADURA RIO NEIVA,28.0,53.127500000000005,10.099285714285715,100.0,2.780603,-75.332525,HUILA,RIVERA,173.0,136.0
OPON_SAN_BARRANCABERMEJA_DESEMBOCADURA RIO OPON,12.0,59.31166666666667,26.61666666666667,100.0,6.959889,-73.886806,SANTANDER,BARRANCABERMEJA,68.0,46.0
PAEZ_CAU_PAEZ_PTE.RICAURTE [21057030],25.0,58.07640000000001,13.943599999999998,100.0,2.52,-75.96,CAUCA,PÁEZ (BELALCÁZAR),85.0,108.0
QDA.DE GARZON_HUI_GARZON_FINCA SAN BENITO,10.0,47.913,0.0,100.0,2.182778,-75.599444,HUILA,GARZÓN,215.0,214.0
QDA.EL MICO_HUI_NEIVA_LOS MICOS,10.0,33.935,0.0,90.0,2.915278,-75.1325,HUILA,NEIVA,230.0,214.0
QDA.LA MARIA_HUI_TERUEL_CAV TERUEL,10.0,38.066,0.0,80.0,2.7625,-75.575278,HUILA,TERUEL,226.0,214.0
RCA_ALGODONAL_NOR_OCANA_LA CABANA [16057030],28.0,56.5475,8.242500000000001,100.0,8.197805556,-73.31825,NORTE DE SANTANDER,OCAÑA,110.0,149.0
RCA_AMAZONAS_AMA_LETICIA_LETICIA [48017010],34.0,63.480294117647055,24.667058823529413,100.0,-4.222527778,-69.94272222,AMAZONAS,LETICIA,29.0,52.0
RCA_AMAZONAS_AMA_LETICIA_NAZARETH [48017030],33.0,60.19909090909091,25.178787878787883,100.0,-4.120194444,-70.03608333,AMAZONAS,LETICIA,54.0,51.0
RCA_ANIMEGRANDE_CES_CHIRIGUANA_PTE.CARRETERA [25027890],7.0,65.91142857142857,9.454285714285716,100.0,9.350135,-73.492699,CESAR,CHIRIGUANÁ,15.0,139.0
RCA_ARACATACA_MAG_ARACATACA_PTE.FERROCARRIL [29067130],31.0,48.12193548387098,3.0412903225806454,90.32258064516128,10.58580556,-74.19211111,MAGDALENA,ARACATACA,213.0,191.0
RCA_ARIARI_MET_PUERTO RICO_PTO.RICO [32077080],34.0,54.674705882352946,27.027058823529412,97.05882352941177,2.94,-73.21,META,PUERTO RICO,152.0,43.0
RCA_ARIGUANI_MAG_ARIGUANI_PALMARIGUANI[28047050],16.0,63.113125,18.118125,100.0,9.930972222,-73.95880556,MAGDALENA,ARIGUANÍ (EL DIFICIL),30.0,82.0
RCA_ARMA_CAL_AGUADAS_QUITA SUENO [26187040],27.0,55.842592592592595,17.04,96.29629629629629,5.713611111,-75.540277778,CALDAS,AGUADAS,129.0,87.0
